职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
京东电商运营,1-1.3万,上海·静安区,2-3年,大专,上海鼎客企业发展有限公司,快速消费品(食品、饮料、化妆品),民营,少于50人,五险一金;带薪年假,物流;售后服务;运营管理;平台规则,市场营销 活动策划 运营策略
招商营运经理,1-1.7万·16薪,清远·清城区,6年及以上,本科,广州市粤新商业管理有限公司,物业管理/商业中心,国企,10000人以上,培训;五险一金;餐饮补贴;过节费;高温补贴;定期体检,团队管理;现场管理;经营管理;市场调查,客户开发
储备营运专员（驻地深圳）,5-8千,深圳,1年及以上,本科,珠海市爱婴岛商贸连锁有限公司,快速消费品(食品、饮料、化妆品),民营,1000-5000人,五险一金;专业培训;节日福利;周末双休,节假日;办公软件;运营;快消行业;零售;巡店;批发;终端陈列,销售
厂长/运营/生产经理/物流经理,1.5-2.5万,宁波·江北区,3年及以上,,宁波易创创业服务集团有限公司,专业服务(咨询、人力资源、财会),民营,150-500人,五险一金;餐饮补贴;专业培训;带薪年假;员工旅游;节日福利,运营;英语;生产;礼品行业;口语;外资企业,
高级客户运营专员-武汉,7-9千·16薪,武汉·东湖新技术产业开发区,1年及以上,本科,震坤行工业超市（上海）有限公司,互联网/电子商务,合资,1000-5000人,五险一金;专业培训;绩效奖金;定期体检;培训;带薪年假;有餐补;通讯补贴;交通补贴,,
跨境运营专员,8千-1.2万,苏州·苏州工业园区,3-5年,本科,苏州馨鑫车业科技有限公司,医疗设备/器械,民营,50-150人,五险一金,数据分析;excel;客户维护;电商;英语四级;亚马逊;平台运营,营销 营销推广 运营策略
运营总监,1.8-3万,宁波·慈溪市,10年及以上,硕士,中天晶科（宁波）半导体材料有限公司,电子技术/半导体/集成电路,国企,150-500人,五险一金,管理;运营;预算;成本控制;团队建设;包装;库存管理;质量管理体系;精益生产;iatf16949,
储备营运经理（奶粉/母婴经验）,7千-1万,佛山·南海区,2年及以上,大专,珠海市爱婴岛商贸连锁有限公司,快速消费品(食品、饮料、化妆品),民营,1000-5000人,培训;五险一金;绩效奖金;年终奖金,办公软件;陈列;营运;商品陈列;库存;巡店;日常运营;终端陈列,销售
店铺营运助理 （南昌）,7千-1万,南昌,3-4年,大专,路易威登（中国）商业销售有限公司,奢侈品/收藏品/工艺品/珠宝,外资（欧美）,1000-5000人,,仓库管理,
电商运营助理,4-5.5千,广州,无需经验,,东莞市荟星传媒科技有限公司,计算机软件,民营,未知,年终奖;带薪年假;提成;公司福利,朝九晚六;底薪;全勤;节假日,
阿里巴巴国际站运营,6-9千·13薪,揭阳·榕城区,2年及以上,大专,揭阳市海纳百川服饰有限公司,服装/纺织/皮革,民营,未知,绩效奖金;年终奖金;节日福利;五险,国际站运营,
京超猫超运营,8千-1.1万,上海·青浦区,1年及以上,大专,上海元熙实业发展有限公司,贸易/进出口,民营,50-150人,带薪年假;五险一金;绩效奖金;节日福利;交通补贴;餐饮补贴;高温补贴;年终奖金,电商;运营;对接小二,
京东运营（半弦月/床品TOP品牌）,8千-1.1万,深圳·龙华区,1年及以上,大专,深圳市晓谷科技有限公司,互联网/电子商务,民营,500-1000人,专业培训,运营管理;广告投放;订单处理;电商行业;效果评估;标题优化;发货计划,产品销售 营销活动 平台营销
营运经理/主管（模具设计端）,1-1.8万,九江·修水县,5年及以上,大专,江西模界荣耀科技平台有限公司,计算机软件,民营,1000-5000人,包吃住,运营管理;统筹规划;产能规划;进度监控;汽车冲压模具;统筹运营;风险预警;生产运营;运营体系,流程优化
研发运营专员,5-7千,东莞·大岭山镇,无需经验,本科,广东拓斯达科技股份有限公司,仪器仪表/工业自动化,已上市,1000-5000人,五险一金;专业培训;年终奖金,计算机;测试;项目管理;行政;研发;数据统计;固定资产管理;数据报表;团队建设,
跨境电商运营/亚马逊,8-9.5千,广州,1年及以上,大专,广东华翰文化集团有限公司,文字媒体/出版,民营,50-150人,五险一金;双休;下午茶,数据分析;运营;英语;日语;产品推广;产品定位;数据监控;乐天网;TEMU,销售
新媒体运营,6千-1.2万,重庆·九龙坡区,1年及以上,大专,重庆施乐事达通讯设备有限公司,通信/电信/网络设备,民营,150-500人,员工旅游;专业培训;绩效奖金;年终奖金;弹性工作;五险,直播;直播运营;新媒体平台;汽车直播;线上运营;巨量千川,
急聘社群运营专员,1-1.5万,武汉·洪山区,无需经验,,人瑞医药（湖北）有限公司,制药/生物工程,民营,未知,高提成;提成激励;带薪假;提成奖金;住房补贴,多劳多得;氛围轻松;有人带;高薪;舒适办公;上不封顶;无需外出,
抖音运营（家居日用品品类）,8千-1.3万,上海·松江区,2年及以上,本科,上海安买电子商务有限公司,互联网/电子商务,民营,150-500人,,日用品;抖音;商务拓展;小红书;天猫;主播资源库;管理规范,
组织营运专员（可接受毕业生）,6千-1万·13薪,佛山·顺德区,无需经验,本科,广东维杰汽车部件制造有限公司,汽车,民营,500-1000人,,英语cet_6;听说读写;驾驶证;组织运营,
产品运营管培生,5-8千,厦门·同安区,无需经验,大专,厦门好给力网络有限公司,计算机软件,民营,未知,年终奖金;绩效奖金;专业培训;员工旅游;餐饮补贴;带薪年假;节日福利;五险,,
财务运营支撑岗位,7-9千·13薪,广州·海珠区,2年及以上,本科,联通数智医疗科技有限公司,计算机软件,国企,未知,五险一金;年终奖金,会计;财务报表;office;服务;发票开具;财会;发票管理;税费申报;财经政策,营销费用
