职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
AI应用产品高级工程师 (MJ000670),2-4万,深圳·宝安区,3年及以上,本科,深圳市大族数控科技股份有限公司,机械/设备/重工,已上市,1000-5000人,五险一金;定期体检;年终奖金;员工宿舍;股票期权,agent;prompt;设计;供应链;通勤班车;人才公寓;专属停车场,
产品工程师,6-9千,无锡·新吴区,1-3年,本科,无锡维邦工业设备成套技术有限公司,制药/生物工程,民营,150-500人,定期体检;五险一金;节日福利;带薪年假;交通补贴;双休;培训;健康体检;假日福利,工作餐;职业发展;团队氛围,
PD(产品开发),1.4-2.3万,东莞·黄江镇,2年及以上,大专,东莞领益精密制造科技有限公司,原材料和加工,民营,10000人以上,五险一金;带薪年假;年终奖金;绩效奖金;项目奖金;专业培训;有餐补;包住;通讯补贴,五金冲压,
服务产品经理,1.5-2.5万·13薪,武汉,3年及以上,本科,东风汽车集团股份有限公司,汽车,国企,10000人以上,五险一金,方案设计;运营管理;产品开发;运营推广;需求收集;维修养护;道路救援;开发推广;服务产品开发,营销推广
产品工程师,8千-1万,苏州·吴中区,3年及以上,本科,江苏谱新生物医药有限公司,制药/生物工程,民营,50-150人,内部培训;五险一金,团队管理;异常处理;生产计划;日常管理;qpcr;立项调研;质量投诉;试剂盒;迭代优化,
产品经理,1-1.5万,宁波·慈溪市,3年及以上,本科,宁波益格思包装有限公司,互联网/电子商务,民营,50-150人,培训;五险,需求分析;市场调研;功能设计;互联网产品;产品改进;用户分析;全流程管理;产品持续优化,项目推进
电池产品技术经理,1.2-1.5万,南京,5年及以上,硕士,爱尔集新能源（中国）有限公司,新能源,外资（非欧美）,10000人以上,五险一金;补充医疗保险;带薪年假;专业培训;定期体检;免费班车,产品策略;解读客户需求;主导产品开发;定期团建,
产品研发总监,2.2-3万,东莞·长安镇,8年及以上,本科,东莞索坤莱工业装备有限公司,计算机软件,民营,150-500人,五险一金,管理;项目管理;团队管理;产品开发;质量控制;技术指导;pvd;文档管理;制定项目计划;技术总结,
售前产品经理,8千-1.2万,南昌·青山湖区,3年及以上,大专,南昌众投科技有限公司,计算机软件,民营,50-150人,五险一金;年终奖金;定期体检,产品原型;能源;设计说明书;立项方案;用户需求分析;产品方案撰写,
软件产品经理,1.3-1.7万,苏州·苏州工业园区,3年及以上,本科,苏州蔚星智能科技有限公司,计算机软件,民营,50-150人,培训;五险一金;带薪年假;绩效奖金;项目奖金;有餐补,原型设计;竞品分析;软件产品经理;物联网,产品规划
产品经理（无线通信/IoT）,2-3万·13薪,深圳·龙岗区,3年及以上,本科,深圳市昇润科技有限公司,电子技术/半导体/集成电路,外资（非欧美）,150-500人,周末双休;带薪年假;节日福利;五险一金,BLE+wifi双模;BLE模块方案;芯片原厂;关键方案商;TOT产品经理;模块方案产品,
资深产品开发工程师,2-3.5万·13薪,盐城·盐都区,5年及以上,硕士,江苏斯瑞达材料技术股份有限公司,电子技术/半导体/集成电路,民营,150-500人,五险一金;定期体检;周末双休;年终奖金,压敏胶带;电子;包食宿;扁平管理;节日礼物;免费工作餐,
清洁电器（吸尘器）产品经理,1.8-2.5万·14薪,杭州·上城区,5-8年,本科,杭州巨星科技股份有限公司,机械/设备/重工,已上市,5000-10000人,五险一金;餐饮补贴,英语;产品开发;试产;品质管理;竞品分析;新产品开发;吸尘器;产品定义;检验规程;工程测试,
产品经理/主管,15-20万/年,武汉,3年及以上,本科,湖北氮能农业生物科技有限公司,农/林/牧/渔,民营,少于50人,五险一金;交通补贴;补充医疗保险;绩效奖金;专业培训;年终奖金;餐饮补贴,肥料;化学,
产品设计,6千-1万·13薪,佛山·顺德区,2年及以上,本科,广东伟经日用五金制品有限公司,家居/室内设计/装潢,民营,1000-5000人,五险一金;定期体检,solidworks;ps;市场调研;产品设计;工艺;手绘;设计开发;工业设计;keyshot;成本意识,
产品结构工程师,1.2-1.8万,深圳·南山区,1-3年,本科,深圳辛恩励科技有限公司,家具/家电/玩具/礼品,民营,少于50人,五险一金;年终奖金;定期体检,产品研发;结构件;设计验证;塑料;模具评审;结构设计方案;功能集成;蒸汽发热体,
灯具高级产品经理,1.8-2.3万·13薪,杭州·上城区,10年及以上,本科,杭州巨星科技股份有限公司,机械/设备/重工,已上市,5000-10000人,五险一金;餐饮补贴;年终奖金,机械制造;产品研发;市场动态;产品;灯具;降低生产成本;机械电子;推陈出新,
方形电芯产品开发（动力方向）,1.2-1.5万,南京,4年及以上,硕士,爱尔集新能源（中国）有限公司,新能源,外资（非欧美）,10000人以上,五险一金;年终奖金;专业培训;定期体检;免费班车,开发验证;化学体系;实验数据分析,
