职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
助理数据分析师,7千-1.2万·13薪,厦门,无需经验,本科,贵州瀚溯信息咨询服务有限公司,通信/电信/网络设备,民营,未知,五险一金;员工旅游;交通补贴;餐饮补贴;通讯补贴,数据分析;数据收集;决策分析;可视化图表;数据报告,数据驱动
数据分析员/五险双休,7.6-9.8千·13薪,郑州·中原区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析,1-1.5万·15薪,上海·静安区,1年及以上,本科,安徽哈能时代智能机器人有限公司,电子技术/半导体/集成电路,民营,50-150人,五险一金;绩效奖金,数据分析;excel;sql;数据统计;tableau;bi;商业分析;报告;数字敏感;可行性优化,
数据分析师,1-1.5万,苏州·吴中区,无需经验,本科,上海洁仕堡科技有限公司,批发/零售,民营,未知,五险一金;绩效奖金;年终奖金,计算机;数据分析;sql;数学;建模;数据收集;数据挖掘;spss;sas;数理统计,
数据分析,6-8千,大连·西岗区,1年及以上,大专,大连曜图科技有限公司,电子技术/半导体/集成电路,民营,未知,带薪年假;周末双休,数据分析;excel;sql;数学;统计分析;编程语言;数据支持;数据可视化;计算机科学;数据模型,
数据分析员/五险双休,7.6-9.8千·13薪,深圳·福田区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
助理数据分析师,7千-1.4万·13薪,武汉·江汉区,无需经验,本科,贵州瀚溯信息咨询服务有限公司,通信/电信/网络设备,民营,未知,五险一金;员工旅游;交通补贴;餐饮补贴,数据分析;分析报告;数据收集;数据支持;数据解决方案;数据需求沟通,
数据分析师,1-1.5万,南京·江宁区,无需经验,本科,上海洁仕堡科技有限公司,批发/零售,民营,未知,五险一金;绩效奖金;年终奖金,计算机;数据分析;sql;数学;建模;数据收集;数据挖掘;spss;sas;数理统计,
数据分析师,1.1-1.5万,重庆,1年及以上,本科,石家庄迈众人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据收集;数据可视化;数据模型;策略制定;业务规划,
数据分析师,1.1-1.5万,上海·徐汇区,1年及以上,本科,石家庄迈众人力资源服务有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据收集;数据可视化;数据模型;策略制定;业务规划,
数据分析师,1-1.5万,贵阳,无需经验,本科,上海狩利信息科技有限公司,计算机软件,民营,未知,五险一金;绩效奖金,数据分析;excel;sql;mysql数据库;数据可视化;计算机科学;数据建模;tableau;sas;应用数学,
数据分析,8千-1.2万,深圳,无需经验,大专,北京中瓴时代科技有限公司,计算机软件,民营,150-500人,弹性工作;交通补贴;周末双休,计算机;办公软件;excel;运筹学;标注;复核;应用数学;统计学;加班费;年轻团队,
数据分析员/五险双休,7.6-9.8千·13薪,烟台·芝罘区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析,5-8千,成都·青羊区,无需经验,大专,成都市智计全球科技有限责任公司,计算机软件,民营,50-150人,五险一金;餐饮补贴,计算机;办公软件;数据分析;需求分析;数学;统计;算法;机器学习;数据可视化;商业分析,
AI数据分析师,6千-1万,东莞·南城区,1年及以上,本科,东莞市沃垦科技有限公司,批发/零售,民营,少于50人,五险一金;包吃,数据分析;excel;sql;电商;ai;电商行业;python;电商运营;数据报表;人工智能;全勤奖,
数据分析师（初级/中级）,7千-1.4万·14薪,无锡·梁溪区,1年,本科,无锡新恩拓机械有限公司,电子技术/半导体/集成电路,民营,150-500人,五险一金;补充医疗保险,计算机;数据分析;电子;excel;sql;自动化;数学;数据收集;人工智能;数据支持,
数据分析员/五险双休,7.6-9.8千·13薪,贵阳·南明区,无需经验,,乐宫（河北）企业管理有限公司,专业服务(咨询、人力资源、财会),民营,少于50人,五险一金;绩效奖金,计算机;数据分析;excel;sql;数学;数据支持;业务优化;数据分析模型;统计学;挖掘数据价值,
数据分析师,8千-1万,福州,无需经验,大专,上海柏巨电子科技有限公司,电子技术/半导体/集成电路,民营,未知,五险一金;绩效奖金;年终奖金;定期体检,excel;大数据;考核,管理销售团队 销售制度 销售对策 管理销售目标
数据分析师（深圳工作）,9千-1.4万·13薪,深圳·福田区,无需经验,本科,深圳市冠泰聚光建设工程有限公司,计算机软件,民营,150-500人,项目奖金;缴纳社保,计算机;java;数据库;软件工程;数学;it;制造;pandas;结果分析;奖金;股权激励,销售
