职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
财务BP,1.5-2万,深圳·龙华区,3年及以上,本科,深圳汉阳科技有限公司,机械/设备/重工,民营,150-500人,五险一金,,
财务成本会计（江西瑞金上班）,8千-1万,汕头·澄海区,1年及以上,大专,汕头市信业环保包装有限公司,服装/纺织/皮革,民营,500-1000人,年终奖;带薪年假;下午茶,办公软件;excel;财务;erp;word;成本控制;成本核算;金蝶;税务;归档;全勤奖,
财务主管,1.5-2.5万,武汉·江夏区,6年及以上,本科,武汉超擎数智科技有限公司,通信/电信运营、增值服务,民营,150-500人,培训;五险一金;带薪年假;带薪病假;年终奖金;绩效奖金;股票期权;项目奖金;专业培训;零食下午茶,定期团建,
财务专员,5-7千·13薪,青岛·黄岛区,无需经验,本科,瑞智（青岛）精密机电有限公司,机械/设备/重工,外资（非欧美）,1000-5000人,五险一金,办公软件;财务;会计;财务报表;财务软件;税务申报;财务核算;发票管理;财务数据整理,财务流程优化
综合财务部经理,1.1-1.6万,杭州·余杭区,无需经验,,杭州叶颐商贸有限公司,贸易/进出口,民营,未知,五险一金;年终奖金;带薪年假;节日福利;通讯补贴;周末双休,全勤奖,
高级财务经理,20-30万/年,广州·海珠区,3年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,培训;五险一金,审计;合并报表;财务分析报告;会计准则;数据审核;会计政策;数据提供;报表收集;报表输出,
运营管理岗（财务方向）,10-15万/年,佛山·顺德区,3年及以上,硕士,广东顺控发展股份有限公司,政府/公共事业,已上市,1000-5000人,五险一金;绩效奖金;专业培训;定期体检;工会福利,含早午餐,
财务成本会计（江西瑞金上班）,8千-1万,汕头·澄海区,1年及以上,大专,汕头市信业环保包装有限公司,服装/纺织/皮革,民营,500-1000人,年终奖;带薪年假;下午茶,办公软件;excel;财务;erp;word;成本控制;成本核算;金蝶;税务;归档;全勤奖,
财务出纳,4-6千,郑州·中原区,3年及以上,大专,郑州智愈健康科技有限公司,医疗/护理/卫生,民营,50-150人,五险;补充医疗保险;绩效奖金,,
电商财务会计,4-6千,广州·白云区,1年及以上,中技/中专,广东医宗堂医药有限公司,医疗/护理/卫生,民营,少于50人,,医药;erp;数据统计;电商行业;对帐;数据审核;费用登记;电商财务;订单核销,
工厂财务控制及存货,15-20万/年,广州·番禺区,5年及以上,本科,广州安道拓汽车座椅有限公司,汽车,合资,500-1000人,五险一金;补充医疗保险;免费班车;通讯补贴;年终奖金;子女福利,免费工作餐;部门团建;子女医疗保险;定期团建,
销售财务主管,1.5-2.5万·15薪,苏州·苏州工业园区,5年及以上,本科,苏州振旺光电有限公司,家具/家电/玩具/礼品,民营,150-500人,五险一金;补充医疗保险;带薪年假,财务;财务管理;财务报表;对账;税务;会计核算;分析报告;审批;定价,销售
财务控制 Controller,1-1.5万,天津·滨海新区,6年及以上,本科,格拉默车辆内饰（天津）有限公司,汽车,外资（欧美）,150-500人,五险一金;免费班车,sop;excel;财务;英语;汽车行业;预算;sap;成本优化;人力成本控制;财务监管;免费工作餐,
财务出纳-双休,5.5-7千·13薪,西安·未央区,1-3年,大专,西安星格原建材有限公司,批发/零售,民营,50-150人,双休;五险一金,办公软件;财务;财务报表;报销;账目核对;票据管理;财务单据审核;财务支持,银行收支
财务专员兼出纳-双休,5.5-7千·13薪,广州·白云区,1-3年,大专,广州晁临电子贸易有限公司,批发/零售,民营,少于50人,双休;五险一金,财务;会计;财务报表;财务软件;出纳;税务申报;财务核算;发票管理;财务分析报告;资金收支,
财务BP,7千-1万,上海·普陀区,1-2年,本科,弈人（上海）科技有限公司,计算机软件,民营,少于50人,五险一金;专业培训,财务;记账凭证;数据统计;理工;税法;财务核算;财务数据;尽调;会计准则;财经;定期团建,
财务科长-日语-东莞塘夏镇,1.2-1.5万·14薪,东莞·塘厦镇,10年及以上,大专,上海提浜克企业管理有限公司苏州分公司,专业服务(咨询、人力资源、财会),民营,未知,年终奖,管理;财务;预算;成本核算;日语;固定资产管理;统计报表;报废处理;会计证书;固定资产申购;奖金,
财务预算分析主管,1-1.5万,杭州·拱墅区,2年,本科,蚌埠顾奈酒店管理有限公司,酒店/旅游,民营,50-150人,员工旅游;专业培训,办公软件;数据分析;财务;会计;成本控制;财务软件;经济;费用管理;财务分析报告;资源配置,
财务助理,4-5千,中山,1年及以上,大专,中山楚歌五金塑胶制品有限公司,贸易/进出口,民营,50-150人,年终奖金;绩效奖金;专业培训;带薪年假;餐饮补贴;节日福利;五险;包吃包住;节假日福利,会计,
财务BP经理,1.5-2.5万·15薪,苏州·吴中区,5年及以上,本科,苏州跃川拓境科技有限公司,汽车,民营,150-500人,节日福利;五险一金;弹性工作,办公软件;数据分析;excel;财务;erp;ppt;财务管理;sap;金蝶;财务软件,
财务（融资与项目申报）,8千-1.2万,苏州·苏州工业园区,3年及以上,本科,苏州蔚星智能科技有限公司,计算机软件,民营,50-150人,补贴;五险一金;带薪年假;绩效奖金;项目奖金;有餐补,项目申报;知识产权;融资;节日礼品,
财务BP,1.5-2万,深圳·龙华区,3年及以上,本科,深圳汉阳科技有限公司,机械/设备/重工,民营,150-500人,五险一金,,
财务副经理（可接受外派）,1-1.5万·14薪,赣州,5年及以上,本科,赣州腾远钴业新材料股份有限公司,采掘业/冶炼,民营,1000-5000人,通讯补贴;带薪年假,管理;数据分析;excel;财务;erp;预算;会计;财务管理;成本控制;新能源;保险,金融
集团总部财务专员/主管(J10153),8千-1万,北京·朝阳区,1-3年,本科,北京盛伦国际物流有限公司,交通/运输/物流,民营,150-500人,五险一金;补充医疗保险;带薪年假,财务;英语;财务管理;会计学;发票开具;入账;注册证书;会计职称;账务处理,
财务出纳,5-6千·13薪,苏州,1年及以上,大专,苏州上兮半导体科技有限公司,电子技术/半导体/集成电路,民营,50-150人,五险一金;带薪年假;带薪病假;年终奖金,***开具;报销单审核;预付款;应收账龄;月结款;装订会计凭证,银行日报表
财务内勤,3-4千,哈尔滨,2年及以上,大专,黑龙江省嘉宏云晟经贸有限公司,贸易/进出口,民营,未知,补充医疗保险;通讯补贴;餐饮补贴;交通补贴;绩效奖金;年终奖金;定期体检;专业培训;五险一金,财务,
财务助理,4.5-6.5千,东莞,1年及以上,大专,东莞意拓通信科技有限公司,计算机软件,民营,50-150人,带薪年假;年终奖金;绩效奖金;定期体检;包吃;包住;有餐补;五险,,
财务专员（费用会计）,8千-1.2万,宁波·北仑区,1-5年,本科,宁波中集物流装备有限公司,机械/设备/重工,合资,1000-5000人,五险一金;绩效奖金;定期体检;带薪年假;餐饮补贴;双休;节日福利;包吃包住,,
财务主管,1.5-2.5万,武汉·江夏区,6年及以上,本科,武汉超擎数智科技有限公司,通信/电信运营、增值服务,民营,150-500人,培训;五险一金;带薪年假;带薪病假;年终奖金;绩效奖金;股票期权;项目奖金;专业培训;零食下午茶,定期团建,
会计审核总监,8千-1万,宜昌·西陵区,3年及以上,大专,湖北精诚财务集团有限公司,专业服务(咨询、人力资源、财会),民营,未知,五险一金;绩效奖金;年终奖金;专业培训;节日福利;带薪年假;交通补贴;周末双休;五险;包吃;培训,全勤奖,
财务内勤,4-5千,重庆·江北区,2年及以上,大专,重庆品辰装饰工程设计有限公司,家居/室内设计/装潢,民营,50-150人,带薪年假;周末双休;五险,应收账款催收;商务合同签订;结算手续;工程项目台账,
高级财务经理,20-30万/年,广州·海珠区,3年及以上,本科,前锦网络信息技术（上海）有限公司,专业服务(咨询、人力资源、财会),外资（非欧美）,5000-10000人,培训;五险一金,审计;合并报表;财务分析报告;会计准则;数据审核;会计政策;数据提供;报表收集;报表输出,
出纳（财务助理）,4.5-6千,广州·黄埔区,3年及以上,大专,来钰数智供应链（广东）有限公司,贸易/进出口,民营,少于50人,提成核算;下午茶;双休,办公软件;财务;成本核算;报销;工资核算;汇算清缴;现金管理;wps;ms;奖金,
